,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
8470,8471,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",5,5,"Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Academic researcher;Designer","Just me - I am a freelancer, sole proprietor, etc.",IDR	Indonesian rupiah,,Monthly,HTML/CSS;JavaScript;PHP;Python;SQL;VBA,HTML/CSS;JavaScript;PHP;Python;R;SQL,MySQL,MySQL;PostgreSQL,Heroku,AWS,jQuery,Laravel;React.js,Pandas,NumPy;Pandas,Git,Git,IPython/Jupyter;Visual Studio Code,IPython/Jupyter;RStudio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",No,35-44 years old,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Appropriate in length,Neither easy nor difficult,
8920,8921,I am a student who is learning to code,"Not employed, but looking for work",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member",5,,Student,,,,,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,MySQL,MySQL;Redis,,,Laravel,React.js,,,Git,Deno;Docker;Git,Visual Studio Code,Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
8939,8940,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Younger than 5 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member",10,3,"Developer, mobile;Developer, back-end;Student",2 to 9 employees,IDR	Indonesian rupiah,5000000.0,Monthly,Dart;Python,Dart;Go;JavaScript;Python,Firebase;PostgreSQL,Firebase;MySQL,,,Django;Express,Angular;React.js,Flutter,Flutter;NumPy;Pandas;TensorFlow,Git,Docker;Git,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,4392.0
9017,9018,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",4,,,,,,,Java;PHP;Python;SQL,Go;Java;JavaScript;Kotlin;PHP;Python;R;Rust;SQL;TypeScript,MariaDB,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,DigitalOcean;Heroku,DigitalOcean;Google Cloud Platform;Heroku,Laravel,Angular;Django;Express;FastAPI;Flask;Gatsby;Laravel;React.js;Spring;Svelte;Vue.js,NumPy;Pandas,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Git,Deno;Docker;Git;Kubernetes;Puppet;Yarn,IntelliJ;IPython/Jupyter;PHPStorm;Visual Studio Code,Android Studio;IntelliJ;IPython/Jupyter;PHPStorm;PyCharm;RStudio;Sublime Text;Vim;Visual Studio Code;Webstorm,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too short,Easy,
9177,9178,I am a developer by profession,Employed part-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Books / Physical media",11,6,"Developer, front-end;Developer, full-stack;Developer, back-end;System administrator",2 to 9 employees,IDR	Indonesian rupiah,40000000.0,Yearly,Bash/Shell;HTML/CSS;JavaScript;PHP;TypeScript,Go;HTML/CSS;PHP,SQLite,PostgreSQL;SQLite,DigitalOcean,,React.js;Symfony,Symfony,,,Docker;Git;Yarn,Ansible;Docker;Git;Yarn,PHPStorm;Visual Studio Code,PHPStorm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Other (please specify):,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,2927.0
9186,9187,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague;Books / Physical media",11,10,"Developer, back-end;Developer, QA or test;DevOps specialist",20 to 99 employees,USD	United States dollar,,Monthly,Bash/Shell;Dart;Go;Groovy;Node.js,Bash/Shell;Dart;Go;Groovy;Node.js;Rust,MariaDB;MongoDB;MySQL;Redis,Elasticsearch;MariaDB;MongoDB;MySQL;Redis,AWS;DigitalOcean;Google Cloud Platform,AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure,Angular,Angular,React Native,Flutter,Docker;Git;Yarn,Docker;Git;Kubernetes;Terraform;Yarn,Android Studio;IntelliJ;Xcode,Android Studio;IntelliJ;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,
9268,9269,I code primarily as a hobby,Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",,,"Developer, front-end;Developer, full-stack;Developer, back-end",,,,,HTML/CSS;JavaScript;Node.js;PHP;SQL,Java,MariaDB;MongoDB;MySQL;Redis;SQLite,PostgreSQL,DigitalOcean;Heroku,AWS;Google Cloud Platform,Express;React.js,Spring,,,Git,Deno,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Meditate,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,None of the above,Appropriate in length,Easy,
9275,9276,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",4,,,,,,,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;R;SQL,Dart;Kotlin;Objective-C;Ruby;Rust;Scala,MariaDB;MongoDB;MySQL;Redis;SQLite,,AWS;Microsoft Azure,Google Cloud Platform;Oracle Cloud Infrastructure,ASP.NET;Django;jQuery;Laravel;Vue.js,,.NET Framework;.NET Core / .NET 5;Keras;NumPy;Pandas;Qt;Torch/PyTorch,Flutter,Docker;Git;Unity 3D;Unreal Engine,Kubernetes,Android Studio;Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PyCharm;RStudio;Vim;Visual Studio;Visual Studio Code,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,
9309,9310,I am a developer by profession,I prefer not to say,Indonesia,,,Primary/elementary school,Younger than 5 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification",4,4,,"Just me - I am a freelancer, sole proprietor, etc.",IDR	Indonesian rupiah,,,JavaScript;PHP,JavaScript;Node.js;PHP;Python,MariaDB;MySQL,Firebase;MariaDB;MongoDB;MySQL;PostgreSQL,,,jQuery;Laravel;Vue.js,Laravel;Vue.js,,,Git,Docker;Git,Android Studio;PHPStorm;Sublime Text;Visual Studio Code,Android Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"Or, in your own words:",Appropriate in length,Easy,
9474,9475,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,5,2,"Developer, mobile;Developer, back-end",2 to 9 employees,IDR	Indonesian rupiah,7500000.0,Monthly,Java;PHP;SQL,Kotlin;SQL,MariaDB;Microsoft SQL Server;MySQL;SQLite,MariaDB;MongoDB;MySQL,,,Laravel,Laravel,,,Docker;Git,Docker;Git;Kubernetes,Android Studio;Visual Studio Code,Android Studio;PHPStorm,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Panic,Stack Overflow,Multiple times per day,No,,"No, not really",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,6588.0
9616,9617,"I am not primarily a developer, but I write code sometimes as part of my work","Not employed, but looking for work",Indonesia,,,Some college/university study without earning a degree,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",,,"Developer, front-end;Developer, back-end;Student",,,,,HTML/CSS;JavaScript;Node.js;TypeScript,Rust,Elasticsearch;Firebase;MongoDB;Redis,Oracle,Heroku,AWS,Angular;Express,Angular;Express;Spring,,,Docker;Git;Yarn,,Android Studio;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Meditate,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Man,No,Queer,Southeast Asian,I am blind / have difficulty seeing,,Appropriate in length,Neither easy nor difficult,
9657,9658,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",7,5,"Developer, full-stack",20 to 99 employees,IDR	Indonesian rupiah,,,HTML/CSS;JavaScript;PHP;Python;Rust,HTML/CSS;JavaScript;PHP;Python;Rust,MySQL;SQLite,MySQL;PostgreSQL,,,Laravel,,TensorFlow,,Docker,Deno;Docker,Emacs;Visual Studio Code,Emacs,Linux-based,Google it;Do other work and come back later;Visit another developer community (please name):,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,Prefer not to say,Man,No,,,,,Too long,Neither easy nor difficult,
9660,9661,I am a developer by profession,Employed full-time,Indonesia,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",6,2,"Developer, full-stack;Developer, back-end;System administrator",2 to 9 employees,IDR	Indonesian rupiah,2000000.0,Monthly,HTML/CSS;PHP;SQL,Go;HTML/CSS;Node.js;Python;SQL;TypeScript,MariaDB;MySQL,Firebase;MongoDB,Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure,Express;jQuery;Laravel,Express;Flask;jQuery;Laravel;React.js;Vue.js,,,Git;Yarn,Docker;Git,Visual Studio Code,Android Studio;IPython/Jupyter;Visual Studio Code,Windows Subsystem for Linux (WSL),Visit Stack Overflow;Google it;Play games,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,1752.0
9748,9749,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",7,3,"Developer, full-stack",100 to 499 employees,IDR	Indonesian rupiah,6000000.0,Monthly,C#;HTML/CSS;Java;JavaScript;PHP;SQL,C#;HTML/CSS;JavaScript;PHP;SQL,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,,,ASP.NET;ASP.NET Core ;jQuery;Laravel;Spring,ASP.NET;ASP.NET Core ;jQuery;Laravel,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Git;Xamarin,Git,Android Studio;Atom;NetBeans;Notepad++;PHPStorm;Sublime Text;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian;East Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Neither easy nor difficult,5268.0
9782,9783,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media",10,4,Data scientist or machine learning specialist;Academic researcher,"1,000 to 4,999 employees",IDR	Indonesian rupiah,5000000.0,Monthly,Python;R,C++;Python;R,,,IBM Cloud or Watson,AWS;Google Cloud Platform,Flask,Django;Flask,Torch/PyTorch,Keras;TensorFlow;Torch/PyTorch,Git;Unity 3D,Git;Unity 3D,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,4392.0
9783,9784,I am a developer by profession,Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,School,5,2,"Developer, mobile",100 to 499 employees,IDR	Indonesian rupiah,6000000.0,Monthly,Bash/Shell;C++;Dart;Groovy;Java;Kotlin;PHP;SQL,Groovy;Java;JavaScript;Kotlin;Node.js;Python;SQL,Firebase;MariaDB;Microsoft SQL Server;MySQL;SQLite,Elasticsearch;Firebase;MySQL;PostgreSQL,AWS;Google Cloud Platform;Microsoft Azure,AWS;Google Cloud Platform,jQuery;Laravel,Express;Spring;Vue.js,,,Git,Docker;Git;Kubernetes,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,5268.0
9853,9854,I am a student who is learning to code,"Not employed, and not looking for work",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc)",3,,,,,,,,,,,,,,,,,,,Eclipse;IntelliJ,Android Studio;Eclipse,Linux-based,Do other work and come back later,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
10029,10030,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Books / Physical media,25,19,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",20 to 99 employees,IDR	Indonesian rupiah,18000000.0,Monthly,Bash/Shell;Java;JavaScript;PHP;Python,Java;JavaScript;PHP;Python,MariaDB;MySQL,MariaDB;MySQL,,,Flask;jQuery;Laravel,Flask;jQuery;Laravel,NumPy;Pandas,NumPy;Pandas,Git,Git,Android Studio;Vim;Visual Studio Code,Android Studio;Vim;Visual Studio Code,Linux-based,Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,15804.0
10251,10252,I code primarily as a hobby,"Student, part-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);Books / Physical media",4,,,,,,,C;C#;C++;HTML/CSS;Java;JavaScript;Python,Dart;Kotlin;Python,Firebase;MySQL,SQLite,Heroku,,,,Qt,Flutter;Qt;TensorFlow,Git;Unity 3D,Docker;Git,Android Studio;Atom;Eclipse;IntelliJ;Neovim;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code,IntelliJ;Neovim;Visual Studio,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Neutral,No,Under 18 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
