,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
45420,45421,I agree,I am a developer by profession,55-64 years old,"Independent contractor, freelancer, or self-employed",Remote,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,Udemy;Pluralsight,30,30,"Developer, desktop or enterprise applications",2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,360000000.0,C#;Crystal;PowerShell;SQL,C#;Crystal;PowerShell;SQL,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Amazon Web Services (AWS);Cloudflare;Colocation;Google Cloud;Microsoft Azure;VMware,Amazon Web Services (AWS);Cloudflare;Colocation;Google Cloud;Microsoft Azure;VMware,ASP.NET;ASP.NET CORE;Blazor,ASP.NET;ASP.NET CORE;Blazor,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;RabbitMQ;Uno Platform;Xamarin,.NET (5+) ;.NET MAUI;RabbitMQ;Uno Platform;Xamarin,Ansible;Chocolatey;Docker;Kubernetes;MSBuild;NuGet;Terraform;Visual Studio Solution,Ansible;Chocolatey;Docker;Kubernetes;MSBuild;NuGet;Terraform;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Android;iOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;iOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Azure Devops,Azure Devops,Discord;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,Discord;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,A few times per month or weekly,Not sure/can't remember,,Neutral,"I have found that AI is often inaccurate with its results, so it needs to progress more, and have better accuracy before it will become a usalbe tool.","No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,30.0,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,24240.0
45523,45524,I agree,I code primarily as a hobby,35-44 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Recorded coding sessions;Stack Overflow,,6,,Marketing or sales professional,,,Given a list,Visit developer communities like Stack Overflow,Indonesia,,,HTML/CSS;JavaScript;PHP,Java;Kotlin;PHP,MySQL;Oracle;PostgreSQL,MySQL;Oracle;PostgreSQL,,,CodeIgniter;WordPress,CodeIgniter;React;Vue.js,,,,,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,Ubuntu;Windows,Ubuntu;Windows,Stack Overflow for Teams,Stack Overflow for Teams,Slack;Zoom,Slack;Zoom,Bing AI;ChatGPT,Bing AI;ChatGPT,GitHub Copilot,GitHub Copilot,Stack Overflow;Collectives on Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Good for helping,Yes,Favorable,Increase productivity,Somewhat trust,Testing code;Deployment and monitoring;Collaborating with teammates ,Testing code;Deployment and monitoring;Collaborating with teammates ,Testing code;Deployment and monitoring;Collaborating with teammates ,,Deployment and monitoring,,,Testing code;Collaborating with teammates ,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
45526,45527,I agree,I am learning to code,18-24 years old,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,edX,2,,,,,Given a list,Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Indonesia,,,HTML/CSS;Java;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python,MySQL,MongoDB;PostgreSQL,Vercel,Firebase;Vercel,CodeIgniter;Node.js;React,Django;Flask;NestJS;Next.js;Node.js;React;Svelte,NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,Flutter;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow,Chocolatey;Composer;npm,Docker;npm;Vite;Yarn,Android Studio;Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Android;Windows,Windows,,,Discord;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom,Discord;Microsoft Teams;Telegram;Whatsapp;Zoom,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Neutral,,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,Writing code;Documenting code;Debugging and getting help;Testing code,Writing code,,Writing code,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
45690,45691,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Hobby,"Associate degree (A.A., A.S., etc.)","Other online resources (e.g., videos, blogs, forum);Other (please specify):",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;Stack Overflow,,3,1,"Developer, front-end",2 to 9 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Other (please specify):,Indonesia,IDR	Indonesian rupiah,,JavaScript,Kotlin,MySQL,MySQL,,,Next.js;Vue.js,Next.js;Nuxt.js;Vue.js,,,Vite,Vite,Visual Studio Code,Visual Studio Code,MacOS;Windows,MacOS;Windows,,,Discord,Discord,ChatGPT,ChatGPT,,,Stack Exchange;Collectives on Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat","please dont, because the value in stackoverflow is the human answer, not machine","No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,Yes,Individual contributor,1.0,Disagree,,,,,,,,Never,Never,Never,30-60 minutes a day,Less than 15 minutes a day,,"Information Services, IT, Software Development, or other Technology",Too long,Easy,
45726,45727,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Associate degree (A.A., A.S., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Books;Written Tutorials;Stack Overflow,,23,9,"Developer, full-stack",2 to 9 employees,I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,72000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL,HTML/CSS;JavaScript,InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;SQLite,Colocation;Managed Hosting,Managed Hosting,CodeIgniter;Express;Laravel;Node.js;React,CodeIgniter;Node.js,OpenGL;React Native,,CMake;GNU GCC;Gradle;Make;npm,npm,Android Studio;Atom;Eclipse;Geany;IntelliJ IDEA;Notepad++;Visual Studio Code,Android Studio;Geany,Other Linux-based;Ubuntu,Ubuntu,GitHub Discussions;Markdown File,GitHub Discussions,Discord;Google Meet;Telegram;Whatsapp;Zoom,Google Meet;Whatsapp;Zoom,,,,,Stack Overflow,Multiple times per day,Not sure/can't remember,,"Yes, somewhat",that is good,"No, but I plan to soon",Unsure,,Somewhat trust,,,,,,,,,Yes,Individual contributor,5.0,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Never,1-2 times a week,Never,30-60 minutes a day,Less than 15 minutes a day,None of these,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,4848.0
45917,45918,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",,Udemy,5,1,"Developer, back-end",100 to 499 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Ask a generative AI tool,Indonesia,IDR	Indonesian rupiah,,Python,Go;Python;Rust,BigQuery;Cloud Firestore;Firebase Realtime Database;PostgreSQL,,Google Cloud,,,,,,Docker,Docker,PyCharm;Vim;Visual Studio Code,CLion;Goland;PyCharm;Vim;Visual Studio Code,Ubuntu,Ubuntu,Trello,Trello,Discord;Google Meet,Discord;Google Meet,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not at all",,"No, and I don't plan to",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
45927,45928,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work;Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hackathons (virtual or in-person);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Certification videos",Codecademy;edX;Udemy;Pluralsight;Coursera;Udacity;Skillsoft,3,2,Data scientist or machine learning specialist,100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Ask a generative AI tool;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,240000000.0,JavaScript;Python;SQL,Python;SQL,BigQuery,BigQuery,Google Cloud,Amazon Web Services (AWS);Google Cloud,,,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow,Apache Spark;CUDA;Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,,,Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu,Airtable;Confluence;Jira;Miro;Notion,Confluence;Jira;Notion,Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom,ChatGPT,Bing AI;ChatGPT;Google Bard AI;Perplexity AI,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat","AI can add Q&A capabilities using natural language for Stack Overflow users, and provide suggestions for code in answering. It can also compare our answer to other answers and show the difference.",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Learning about a codebase;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Project planning;Writing code;Debugging and getting help,,Debugging and getting help,,,,Project planning;Writing code,Yes,People manager,15.0,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,Over 120 minutes a day,DevOps function;Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Wholesale,Too long,Neither easy nor difficult,16160.0
45930,45931,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",How-to videos;Video-based Online Courses;Click to write Choice 20;Stack Overflow;Interactive tutorial,,5,3,"Developer, front-end",20 to 99 employees,I have a great deal of influence,Given a list,Start a free trial;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,,C;C#;C++;Dart;GDScript;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,HTML/CSS;JavaScript;TypeScript,Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,,,jQuery;Laravel;Nuxt.js;React;Vue.js,Next.js;Nuxt.js;Vue.js;WordPress,Flutter;React Native,React Native,Godot;npm;Unreal Engine;Yarn,Docker;npm;Yarn,Android Studio;Atom;Netbeans;Notepad++;Sublime Text;Visual Studio Code,Visual Studio Code,Android;MacOS;Windows;Windows Subsystem for Linux (WSL),Android;MacOS;Windows;Windows Subsystem for Linux (WSL),Clickup;GitHub Discussions;Jira;Notion,Jira;Miro;Trello,Discord;Google Meet;Telegram;Whatsapp;Zoom,Discord;Google Meet;Telegram;Whatsapp;Zoom,,,,,Stack Overflow,A few times per week,Not sure/can't remember,,Neutral,,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
45984,45985,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow;Interactive tutorial;Programming Games",,1,Less than 1 year,"Developer, full-stack",100 to 499 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,,C#;Dart;Fortran;JavaScript;MATLAB;SQL,C#;Dart;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,Google Cloud;Netlify;VMware,Google Cloud;Netlify;VMware,ASP.NET CORE;Express;Node.js,ASP.NET CORE;Express;Node.js,Flutter,Flutter,Unity 3D,Unity 3D,Android Studio;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code;Xcode,Android Studio;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code;Xcode,Android;Debian;Solaris;Windows;Windows Subsystem for Linux (WSL),Android;Windows,Microsoft Planner,Microsoft Planner,Cisco Webex Teams;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,Cisco Webex Teams;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,,,,,Stack Overflow,Daily or almost daily,Not sure/can't remember,,Neutral,,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,1.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,Over 120 minutes a day,60-120 minutes a day,Developer portal or other central places to find tools/services,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,
46025,46026,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Online Courses or Certification;On the job training;School (i.e., University, College, etc)",,Codecademy;Udemy,10,5,"Developer, full-stack","10,000 or more employees",I have little or no influence,,,Indonesia,IDR	Indonesian rupiah,,HTML/CSS;PHP,Go;HTML/CSS;JavaScript;Python,MySQL;PostgreSQL,Cassandra;Oracle;PostgreSQL;Redis,,,CodeIgniter;Laravel;Node.js;React;Vue.js;WordPress,Next.js;Node.js;React;Vue.js;WordPress,,,,,Visual Studio Code,Visual Studio Code,Windows,Windows,,,,,,,,,Stack Overflow;Stack Exchange,Multiple times per day,No,,"Yes, somewhat",i support it,Yes,Favorable,Greater efficiency,Somewhat trust,Writing code;Documenting code;Testing code;Committing and reviewing code,Writing code,Deployment and monitoring,,,,,Writing code,No,,,,,,,,,,,,,,,,,,Too long,Easy,
46064,46065,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Click to write Choice 20;Stack Overflow;Other (Please specify):,,25,20,"Developer, full-stack",100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Indonesia,IDR	Indonesian rupiah,,C#;Dart;HTML/CSS;Java;JavaScript;SQL,C#;Dart;Go;HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL,,,jQuery;React;Spring Boot,jQuery;Next.js;React;Spring Boot,.NET Framework (1.0 - 4.8);Flutter;Spring Framework,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Flutter;Hadoop;RabbitMQ;Spring Framework;TensorFlow,Docker;Gradle;Maven (build tool);npm;NuGet,Ansible;Docker;Gradle;Kubernetes;Maven (build tool);npm;NuGet;Terraform,Android Studio;Sublime Text;Visual Studio;Visual Studio Code,Android Studio;Sublime Text;Visual Studio;Visual Studio Code,MacOS;Red Hat;Windows,MacOS;Red Hat;Windows,,,Microsoft Teams;Telegram;Whatsapp;Zoom,Discord;Google Chat;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,ChatGPT,ChatGPT,,,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",give the best answer,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Writing code;Debugging and getting help,Writing code;Debugging and getting help,,,,,,Writing code;Debugging and getting help,Yes,Individual contributor,25.0,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Continuous integration (CI) and (more often) continuous delivery,"Manufacturing, Transportation, or Supply Chain",Too long,Neither easy nor difficult,
