,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
8891,8892,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time",I prefer not to answer,I prefer not to answer,7 to 8 years,1 to 2 years,,Web developer,Full stack Web developer,,,10.0,10.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8944,8945,Used to be a professional developer,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,"Information technology, networking, or system administration","More than half, but not all, the time",100 to 499 employees,State-owned company,8 to 9 years,,5 to 6 years,,,,,3.0,2.0,Somewhat agree,Agree,Agree,Strongly agree,,Disagree,,Somewhat agree,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",20.0,Between 2 and 4 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8964,8965,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,Pre-series A startup,2 to 3 years,,,,,,,,,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9008,9009,Professional developer,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Venture-funded startup,18 to 19 years,5 to 6 years,,Web developer,Back-end Web developer,,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Agree,Agree,,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,Yes,LinkedIn,I saw an employer's advertisement,A general-purpose job board,Somewhat important,Important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Australian dollars (A$),,Spaces,Important,Self-taught,Trade book,,,,,,,,,,,,,,Agile; Extreme,Git,Multiple times a day,Agree,Agree,Disagree,Somewhat agree,Agree,Disagree,Agree,Customer satisfaction; Benchmarked product performance; Revenue performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9065,9066,Used to be a professional developer,No,Indonesia,No,"Not employed, but looking for work",Bachelor's degree,Computer science or software engineering,,,,17 to 18 years,,14 to 15 years,,,,,5.0,,Disagree,Agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,"With a hard ""g,"" like ""gift""",Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,No,Glassdoor,,,Important,Important,Important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Important,,,Both,,On-the-job training; Self-taught,Textbook; Stack Overflow Q&A; Stack Overflow Docs; Company internal community,,,8:00 AM,,,,,,,,,,Keep the room absolutely quiet,Waterfall; Agile; Extreme,,,Disagree,Strongly agree,Agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Customer satisfaction; On time/in budget,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop,Several times,Several times,Once or twice,Once or twice,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Agree,Agree,Somewhat agree,Female,"Some college/university study, no bachelor's degree",East Asian,Somewhat agree,Agree,Somewhat agree,Agree,,
9086,9087,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Indonesia,"Yes, part-time",Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",Fewer than 10 employees,I prefer not to answer,3 to 4 years,2 to 3 years,,,,,Analyst or consultant; Data scientist; Other,5.0,4.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,,I visited the company's Web site and found a job listing there,Important,Important,Very important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Not very important,Important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9295,9296,Professional developer,"Yes, both",Indonesia,No,"Independent contractor, freelancer, or self-employed",Primary/elementary school,,All or almost all the time (I'm full-time remote),,,16 to 17 years,14 to 15 years,,Web developer; Graphics programming; Desktop applications developer,,,,9.0,7.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",,More than 4 years ago,Not very important,Somewhat important,Somewhat important,Important,Important,Important,Not very important,Important,Not very important,Important,Not very important,Somewhat important,Not very important,Important,Not very important,Annual bonus; Equipment; Professional development sponsorship; Remote options,Yes,LinkedIn,I received bad news about the future of my company or depart,,Important,Important,Important,Somewhat important,Important,Not very important,Somewhat important,Not very important,Not very important,Somewhat important,,,Spaces,Not at all important,Open source contributions,,,,9:00 AM,C++; C#; Python,Go,.NET Core,Xamarin; .NET Core,SQLite,,Windows Desktop,,Sublime Text; Visual Studio,Turn on some music,,,,,,,,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Male,A doctoral degree,White or of European descent,Somewhat agree,Somewhat agree,Disagree,Agree,,
9505,9506,Professional developer,"Yes, both",Indonesia,No,Employed full-time,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,All or almost all the time (I'm full-time remote),10 to 19 employees,"Privately-held limited company, not in startup mode",18 to 19 years,12 to 13 years,,Web developer; Graphics programming; Desktop applications developer; Database administrator; Systems administrator,,,,6.0,3.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Somewhat agree,Disagree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",,Less than a year ago,Important,Important,Important,Important,Important,Important,Very important,Important,Very important,Very important,Important,Important,Somewhat important,Important,Important,Stock options; Annual bonus; Long-term leave; Expected work hours; Remote options,Yes,,,,,,,,,,,,,,,,Spaces,Somewhat important,Self-taught; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Built-in help,,,9:00 PM,C++; Dart; Go; JavaScript; Python; SQL,C++; Dart; Go,,,Redis; PostgreSQL,Redis; PostgreSQL,Android; Windows Desktop; Mac OS; Amazon Web Services (AWS),Android; Windows Desktop; Mac OS; Raspberry Pi; Amazon Web Services (AWS),Sublime Text,Turn on some music,Agile; Scrum; Kanban,Git,Multiple times a day,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Customer satisfaction; Benchmarked product performance,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop; iOS browser; Android browser,At least once each day,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Male,High school,I don’t know,Agree,Somewhat agree,Somewhat agree,Agree,,
9537,9538,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,1 to 2 years,,Mobile developer,,Android,,6.0,6.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",0.0,Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9601,9602,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,Venture-funded startup,13 to 14 years,3 to 4 years,,Mobile developer,,Android,,5.0,6.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Somewhat agree,Agree,Agree,Disagree,Disagree,Somewhat agree,Disagree,Agree,Agree,Disagree,Agree,Somewhat agree,Disagree,Agree,"I'm not actively looking, but I am open to new opportunities",0.0,Between 1 and 2 years ago,Somewhat important,Important,Important,Important,Important,Important,Important,,Very important,Very important,Important,Very important,Important,Somewhat important,Important,Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options,No,LinkedIn,A friend told me about a job opportunity,"A friend, family member, or former colleague told me",Important,Very important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Not very important,Very important,,,Spaces,Somewhat important,Online course; Self-taught,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Non-Stack online communities; Friends network; Built-in help,,,8:00 AM,Java,Go; Java; Python; Ruby,,,SQLite,,Android,Android,Vim; Android Studio,Keep the room absolutely quiet,,,,,,,,,,,,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Satisfied,Somewhat satisfied,Satisfied,Some influence,No influence at all,No influence at all,Not much influence,Some influence,Some influence,Some influence,Not much influence,No influence at all,Not much influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop; Android app,At least once each day,At least once each week,Once or twice,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Disagree,Male,A bachelor's degree,,Agree,Somewhat agree,Disagree,Agree,,
9660,9661,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration",About half the time,100 to 499 employees,I don't know,5 to 6 years,3 to 4 years,,Web developer; Database administrator,,,,6.0,6.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,No,Other,I saw an employer's advertisement,A general-purpose job board,Very important,Somewhat important,Important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Very important,,,Tabs,Not very important,Self-taught,Official documentation,,,8:00 AM,C#; JavaScript,JavaScript; Python; TypeScript,AngularJS,React; Xamarin; Firebase; .NET Core,SQL Server,Redis; SQLite,,Android; iOS,Visual Studio; Visual Studio Code,Keep the room absolutely quiet,,,,,,,,,,,,Somewhat satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,Satisfied,Somewhat satisfied,Some influence,No influence at all,No influence at all,No influence at all,Not much influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop,Several times,Several times,Haven't done at all,Once or twice,Haven't done at all,Once or twice,Once or twice,Haven't done at all,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Male,High school,I don’t know,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,
10325,10326,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Some college/university study without earning a bachelor's degree,Management information systems,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,2 to 3 years,,Web developer; Mobile developer; Desktop applications developer; Database administrator; Quality assurance engineer,,,,7.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",5.0,Between 2 and 4 years ago,Somewhat important,Somewhat important,Important,Important,Important,Important,Important,Important,Important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Important,Retirement; Annual bonus; Vacation/days off; Health benefits; Child/elder care,Yes,LinkedIn,A friend told me about a job opportunity,A general-purpose job board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10392,10393,Professional developer,"Yes, both",Indonesia,No,Employed full-time,Secondary school,,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years,4 to 5 years,,Web developer; Mobile developer; Graphics programming; Developer with a statistics or mathematics background,,,,7.0,6.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,,,,,,,"I'm not actively looking, but I am open to new opportunities",2.0,Between 2 and 4 years ago,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Annual bonus; Expected work hours; Remote options,Yes,LinkedIn,I was just giving it a regular update,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Somewhat important,Important,Not very important,Important,Somewhat important,Important,Not very important,Somewhat important,Important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407,10408,Professional developer,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,Venture-funded startup,1 to 2 years,1 to 2 years,,Web developer; Machine learning specialist; Data scientist,,,,6.0,5.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scrum,Git,Multiple times a day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11619,11620,Professional developer,"Yes, I program as a hobby",Indonesia,No,"Independent contractor, freelancer, or self-employed",Bachelor's degree,Computer science or software engineering,About half the time,,,20 or more years,20 or more years,,Desktop applications developer,,,,6.0,6.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Somewhat agree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",1.0,Not applicable/ never,Not at all important,Somewhat important,Not very important,Somewhat important,Very important,Important,Very important,Somewhat important,Important,Somewhat important,Not very important,Not at all important,Not at all important,Not at all important,Important,Annual bonus; Vacation/days off; Health benefits; Expected work hours; Remote options,Yes,,A recruiter contacted me,,Important,Very important,Very important,Not at all important,Important,Important,Important,Not very important,Not at all important,Very important,,,Tabs,Somewhat important,Self-taught,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Built-in help,,Part-time/evening courses; Buy books and work through the exercises,8:00 AM,,,,,MySQL; SQLite,MySQL; PostgreSQL; SQLite,Windows Desktop,Windows Desktop,,Turn on some music,Waterfall; Pair,Subversion,A few times a week,Somewhat agree,Agree,Somewhat agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Customer satisfaction; On time/in budget,Satisfied,Satisfied,Not very satisfied,Satisfied,Satisfied,Not very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",7.0,Desktop,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,,Strongly agree,Somewhat agree,Agree,Strongly agree,Disagree,Disagree,Male,A master's degree,South Asian,Disagree,Somewhat agree,Disagree,Agree,,
