,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
28891,41036,Yes,No,Indonesia,"Yes, part-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Designer;Front-end developer;Marketing or sales professional;Product manager;System administrator,3-5 years,3-5 years,Slightly satisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,1.0,5.0,4.0,10.0,8.0,2.0,9.0,3.0,6.0,7.0,7.0,1.0,5.0,8.0,6.0,10.0,11.0,9.0,4.0,2.0,3.0,,,,,,,,,,,,,A friend told me about a job opportunity,U.S. dollars ($),,,,,"Facebook;Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)",Six to nine months,Taken an online course in programming or software development (e.g. a MOOC),,,,Agree,Agree,Agree,C;C++;C#,Java;PHP;SQL;HTML;CSS,,SQL Server;MySQL,,Android;WordPress,,,Android Studio;Atom;Eclipse;Visual Studio;Visual Studio Code,MacOS,2,Agile;Extreme programming (XP);Kanban;Scrum,Mercurial;Team Foundation Version Control,Once a day,No,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),5.0,7.0,2.0,1.0,6.0,4.0,3.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Yes,"Yes, and publicly",Upper management at the company/organization,Yes,8,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, and I don't know what that is",8,Yes,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Between 5:00 - 6:00 AM,Less than 1 hour,30 - 59 minutes,1 - 2 times per week,Standing desk;Fatigue-relieving floor mat;Ergonomic keyboard or mouse,1 - 2 times per week,Male,,Associate degree,Black or of African descent;Hispanic or Latino/Latina,18 - 24 years old,No,,The survey was an appropriate length,Somewhat easy
29015,41223,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Educator or academic researcher,6-8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure,,,,,,,,,,,,,,,,,,,,
29400,41786,No,No,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Database administrator;Front-end developer,3-5 years,0-2 years,Slightly satisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,10.0,9.0,5.0,8.0,1.0,4.0,6.0,7.0,2.0,,,,,,,,,,,,5.0,1.0,4.0,2.0,3.0,4.0,3.0,5.0,7.0,2.0,1.0,6.0,A friend told me about a job opportunity,,3200000,Monthly,2868.0,IDR,Facebook,One to three months,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,,Agree,Neither Agree nor Disagree,Agree,C++;PHP;HTML;CSS,JavaScript;Python;SQL,MySQL,PostgreSQL,Windows Desktop or Server;WordPress,Android;WordPress,,,Notepad++;Sublime Text,Windows,1,,Copying and pasting files to network shares;I don't use version control,,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Stopped going to a website because of their advertising,1.0,2.0,3.0,5.0,4.0,6.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,2,A few times per month or weekly,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,Yes,Very interested,Somewhat interested,Extremely interested,Very interested,Very interested,Between 5:00 - 6:00 AM,5 - 8 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,,East Asian;South Asian,18 - 24 years old,,,The survey was too long,Somewhat easy
29800,42367,Yes,No,Indonesia,"Yes, part-time",Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C++;C#;Java;JavaScript;Objective-C;PHP;VB.NET;HTML;CSS;Bash/Shell,Python;R;Ruby,MongoDB;MySQL;PostgreSQL;SQLite;Oracle,SQL Server;Oracle,Android;Arduino;Google Cloud Platform/App Engine;Linux;Raspberry Pi;WordPress,Android;Arduino;Google Cloud Platform/App Engine;Linux;Raspberry Pi;Firebase,Angular;Node.js,Angular;Node.js;React;Spring,Android Studio;NetBeans;Sublime Text,Windows,1,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Kanban;Scrum,Git,Less than once per month,Yes,Yes,The website I was visiting asked me to disable it,Strongly agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29812,42384,Yes,No,Indonesia,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Full-stack developer,6-8 years,0-2 years,Extremely satisfied,Extremely satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,8.0,5.0,7.0,4.0,1.0,9.0,2.0,10.0,6.0,8.0,5.0,1.0,11.0,7.0,3.0,10.0,2.0,4.0,9.0,6.0,1.0,3.0,5.0,4.0,2.0,,,,,,,,My job status or other personal status changed,,120000000,Monthly,107400.0,IDR,"Confluence;Facebook;Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Stack Overflow Enterprise",One to three months,Taken a part-time in-person course in programming or software development,,,,Strongly agree,Neither Agree nor Disagree,Agree,Assembly;C;C++;Java;JavaScript;PHP;Python;SQL;VB.NET;Visual Basic 6;Kotlin;HTML;CSS,Go;Ruby;Swift;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;MariaDB;Google Cloud Storage,"Oracle;Apache Hive;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Elasticsearch",Android;Arduino;AWS;Azure;Drupal;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server;WordPress;Firebase,Amazon Echo;Apple Watch or Apple TV;Gaming console;Google Cloud Platform/App Engine;Google Home;Heroku;IBM Cloud or Watson;iOS;Mainframe;Serverless;Windows Phone;Firebase,Angular;Django,Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch,Atom;Sublime Text;Visual Studio Code,MacOS,1,Agile;Scrum,Git,Multiple times per day,Yes,I'm not sure/I can't remember,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),,,,,,,,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Between 7:01 - 8:00 AM,Over 12 hours,3 - 4 hours,3 - 4 times per week,Standing desk;Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,Male,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",East Asian,18 - 24 years old,No,,The survey was too long,Somewhat easy
29827,42402,Yes,Yes,Indonesia,"Yes, full-time",Employed full-time,Primary/elementary school,,Fewer than 10 employees,"C-suite executive (CEO, CTO, etc.)",30 or more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Java;Julia,Java;Julia,,"PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",,Amazon Echo;Predix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),I have never visited Stack Overflow (before today),,,,,,Yes,,,,,Very interested,I work night shifts,Less than 1 hour,Less than 30 minutes,Daily or almost every day,Standing desk,I don't typically exercise,,,,,,,,,
30324,43122,No,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer,6-8 years,3-5 years,Slightly satisfied,Slightly satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,4.0,2.0,5.0,1.0,7.0,3.0,6.0,8.0,9.0,10.0,1.0,8.0,5.0,9.0,11.0,3.0,7.0,4.0,2.0,10.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,4.0,1.0,3.0,2.0,5.0,A friend told me about a job opportunity,U.S. dollars ($),,Monthly,,USD,"Other chat system (IRC, proprietary software, etc.)",One to three months,Received on-the-job training in software development,,,,Neither Agree nor Disagree,Agree,Agree,C;C++;C#;Delphi/Object Pascal,C#,MySQL;PostgreSQL;MariaDB,MySQL,Android;Windows Desktop or Server,Windows Desktop or Server,,,Eclipse;Notepad++;Visual Studio,Windows,1,,Zip file back-ups,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Somewhat agree,Somewhat disagree,Somewhat agree,Stopped going to a website because of their advertising,1.0,4.0,5.0,2.0,7.0,6.0,3.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,No,9,A few times per month or weekly,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",1,No,,,,,,Between 5:00 - 6:00 AM,Over 12 hours,30 - 59 minutes,Never,,3 - 4 times per week,,Straight or heterosexual;Asexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,25 - 34 years old,No,,The survey was too long,Neither easy nor difficult
30494,43350,No,No,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go;JavaScript;Ruby,C;C++;Python;Ruby,MongoDB;Redis;MySQL;Elasticsearch,,Heroku;Linux;Windows Desktop or Server,,.NET Core;Django;Node.js;React,,Atom;IntelliJ;PyCharm;RubyMine;Visual Studio,Linux-based,1,Pair programming;Scrum,Git,A few times per week,Yes,I'm not sure/I can't remember,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30739,43706,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,3-5 years,3-5 years,Moderately dissatisfied,Moderately dissatisfied,Doing the same work,I am actively looking for a job,Between 1 and 2 years ago,4.0,2.0,7.0,5.0,10.0,8.0,1.0,9.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,A recruiter contacted me,U.S. dollars ($),,Monthly,,USD,"Google Hangouts/Chat;Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,,,,,,,,JavaScript;PHP;SQL;TypeScript;HTML;CSS,Go,MongoDB;Redis;MySQL,PostgreSQL;Elasticsearch,Linux;Mac OS,,Node.js,Hadoop,Atom;Sublime Text;Visual Studio Code,MacOS,2,,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website,,,,,,,,,,,,Algorithms making important decisions,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Yes,"Yes, and publicly",,,5,,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",,I'm not sure,Extremely interested,,,,,,,,,,,,,,,,,,,
31017,44074,Yes,Yes,Indonesia,No,Employed full-time,Associate degree,"Information systems, information technology, or system administration",100 to 499 employees,Back-end developer,3-5 years,0-2 years,Slightly satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,5.0,8.0,6.0,1.0,4.0,7.0,10.0,9.0,2.0,1.0,6.0,3.0,11.0,8.0,9.0,5.0,4.0,10.0,7.0,2.0,1.0,2.0,5.0,3.0,4.0,4.0,7.0,2.0,5.0,1.0,6.0,3.0,A recruiter contacted me,,,,,,"Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,Because I find it enjoyable,Neither Agree nor Disagree,Agree,Disagree,Go;JavaScript;PHP;Python;SQL;Bash/Shell,Go;Python;SQL;Bash/Shell,MongoDB;Redis;MySQL;MariaDB;Memcached;Elasticsearch,Cassandra;MongoDB;Redis;MySQL;MariaDB;Apache HBase;Google BigQuery;Google Cloud Storage,Android;Google Cloud Platform/App Engine;Linux;Serverless,Google Cloud Platform/App Engine;Heroku;Linux;Serverless,Node.js;React,TensorFlow;Torch/PyTorch,IntelliJ;PHPStorm;Vim;Visual Studio Code,Linux-based,2,Agile;Kanban;Scrum,Git,Multiple times per day,No,,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,2.0,1.0,7.0,6.0,5.0,3.0,4.0,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",Nobody,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,8,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,I'm not sure,Not at all interested,A little bit interested,Not at all interested,Somewhat interested,A little bit interested,Between 8:01 - 9:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",East Asian,18 - 24 years old,No,,The survey was an appropriate length,Neither easy nor difficult
31573,44821,Yes,Yes,Indonesia,"Yes, full-time",Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Fewer than 10 employees,Back-end developer;Educator or academic researcher;Front-end developer;Full-stack developer;Student;System administrator,6-8 years,0-2 years,Moderately satisfied,Moderately satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,1.0,6.0,4.0,5.0,8.0,2.0,3.0,7.0,10.0,9.0,7.0,11.0,6.0,8.0,5.0,9.0,1.0,2.0,10.0,3.0,4.0,4.0,1.0,2.0,3.0,5.0,7.0,1.0,4.0,2.0,5.0,3.0,6.0,My job status or other personal status changed,U.S. dollars ($),187,Monthly,2244.0,USD,"Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",,,Agree,Agree,Neither Agree nor Disagree,Java;JavaScript;PHP;TypeScript;HTML;CSS,C#;Go;JavaScript;Lua;PHP;Python;Ruby;Swift;TypeScript;VB.NET;HTML;CSS,MySQL;PostgreSQL;MariaDB,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;MariaDB,Linux;Windows Desktop or Server;WordPress,Android;Arduino;Google Home;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server;Windows Phone;WordPress,Angular;.NET Core;Node.js;React;Cordova,.NET Core;Node.js;React;Cordova;TensorFlow,Android Studio;Atom;NetBeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,,2,,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;I wanted to view a specific advertisement,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,2.0,1.0,5.0,3.0,6.0,7.0,4.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,9,Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,,I'm not sure,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,I do not have a set schedule,9 - 12 hours,Over 4 hours,1 - 2 times per week,Standing desk;Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,Male,Gay or Lesbian;Bisexual or Queer,,South Asian,18 - 24 years old,No,,The survey was too long,Neither easy nor difficult
